지역,국가,주요 특징
사하라 이남 아프리카,나이지리아,아프리카 최대 산유국(석유산업 중심)
사하라 이남 아프리카,나이지리아,"종교·민족 갈등, 수도 이전(라고스→아부자)"
사하라 이남 아프리카,나이지리아,아프리카 내 인구 수 1위
사하라 이남 아프리카,에티오피아,고산지대 수도(아디스아바바)
사하라 이남 아프리카,에티오피아,"아프리카 최대 커피 생산국, 화훼류(장미 등) 수출 多"
사하라 이남 아프리카,에티오피아,아프리카 연합(AU) 본부 소재
사하라 이남 아프리카,케냐,"인도양 연안국, 커피·차·화훼류 수출"
사하라 이남 아프리카,남아프리카공화국,"아파르트헤이트 정책(인종차별정책), 우분투 정신"
사하라 이남 아프리카,남아프리카공화국,인종 간 경제 격차 큼
사하라 이남 아프리카,남아프리카공화국,"풍부한 자원·산업 발전(석탄, 다이아몬드, 철광석)"
사하라 이남 아프리카,르완다,르완다 내전(후투족 vs 투치족 간 갈등)
사하라 이남 아프리카,수단/남수단,"수단(이슬람교, 아랍계 민족)"
사하라 이남 아프리카,수단/남수단,"남수단(크리스트교 및 토속 종교, 아프리카계 민족)"
사하라 이남 아프리카,수단/남수단,남수단에 주로 석유 매장
사하라 이남 아프리카,시에라리온,"다이아몬드 내전, 반정부군·정부군 충돌"
사하라 이남 아프리카,콩고민주공화국,"코퍼벨트(구리 매장량 多), 코발트 매장"
사하라 이남 아프리카,잠비아,코퍼벨트(구리 매장량 多)
사하라 이남 아프리카,보츠와나,다이아몬드
사하라 이남 아프리카,코트디부아르,카카오 생산 세계 1위
중남부 아메리카,멕시코,"USMCA 회원국, 마킬라도라"
중남부 아메리카,멕시코,미국으로의 경제적 이주 多
중남부 아메리카,콜롬비아,커피 생산 多
중남부 아메리카,브라질,라틴 아메리카 내 인구 수 1위
중남부 아메리카,브라질,리우 카니발(삼바 축제)
중남부 아메리카,브라질,"철광석, 커피 수출 多"
중남부 아메리카,아르헨티나,우루과이와 함께 유럽계 민족 비율 높음
중남부 아메리카,칠레,구리 생산 및 수출 1위
중남부 아메리카,페루,"고대 문명(잉카 문명) 발상지, 마추픽추(쿠스코)"
중남부 아메리카,페루,다른 국가에 비해 원주민 비율 높음
중남부 아메리카,볼리비아,수도: 라파스
중남부 아메리카,볼리비아,고산 지대 → 원주민 비율 높음
중남부 아메리카,베네수엘라,석유 중심 경제(OPEC 회원국)
중남부 아메리카,자메이카,보크사이트 생산량 多
중남부 아메리카,자메이카,국가 내 아프리카계 민족 비율 높음
